Term,Coef,SE Coef,95% CI,T-Value,P-Value
  Mayer,-0.627,0.419,"(-1.448, 0.194)",-1.5,0.134
  Mayflower,-0.821,0.541,"(-1.882, 0.240)",-1.52,0.129
  Maynard,-0.859,0.403,"(-1.649, -0.069)",-2.13,0.033
  Maynardville,0.619,0.468,"(-0.299, 1.537)",1.32,0.186
  Mays Landing,-1.115,0.42,"(-1.938, -0.293)",-2.66,0.008
  Mayville,0.343,0.539,"(-0.714, 1.400)",0.64,0.525
  Maywood,-1.093,0.403,"(-1.883, -0.303)",-2.71,0.007
  Mazeppa,-0.835,0.467,"(-1.751, 0.081)",-1.79,0.074
  Mazomanie,-1.106,0.537,"(-2.159, -0.053)",-2.06,0.04
  Mc Calla,0.238,0.443,"(-0.630, 1.106)",0.54,0.591
  Mc Clave,-0.946,0.468,"(-1.863, -0.028)",-2.02,0.043
  Mc Clelland,-1.662,0.542,"(-2.724, -0.600)",-3.07,0.002
  Mc Connellsburg,-1.126,0.469,"(-2.045, -0.207)",-2.4,0.016
  Mc Donald,-1.477,0.468,"(-2.395, -0.559)",-3.15,0.002
  Mc Ewen,-0.194,0.42,"(-1.017, 0.628)",-0.46,0.644
  Mc Farland,-0.893,0.388,"(-1.653, -0.133)",-2.3,0.021
  Mc Gaheysville,-1.405,0.539,"(-2.462, -0.348)",-2.6,0.009
  Mc Gregor,0.629,0.471,"(-0.294, 1.551)",1.34,0.182
  Mc Kean,-0.084,0.469,"(-1.003, 0.834)",-0.18,0.857
  Mc Kenzie,-1.615,0.541,"(-2.674, -0.555)",-2.99,0.003
  Mc Kittrick,-0.873,0.405,"(-1.668, -0.079)",-2.15,0.031
  Mc Lain,-1.219,0.47,"(-2.140, -0.297)",-2.59,0.01
  Mc Lean,-0.923,0.389,"(-1.686, -0.161)",-2.37,0.018
  Mc Leansville,-1.559,0.54,"(-2.617, -0.500)",-2.89,0.004
  Mcarthur,-0.84,0.539,"(-1.897, 0.216)",-1.56,0.119
  McArthur,-0.916,0.397,"(-1.694, -0.138)",-2.31,0.021
  McCleary,-0.344,0.54,"(-1.402, 0.714)",-0.64,0.523
  Mccloud,-0.854,0.539,"(-1.910, 0.203)",-1.58,0.113
  McCloud,-0.889,0.405,"(-1.684, -0.095)",-2.19,0.028
  Mcdonough,0.071,0.468,"(-0.846, 0.989)",0.15,0.879
  McDonough,-1.243,0.4,"(-2.027, -0.459)",-3.11,0.002
  Mcgregor,-0.814,0.539,"(-1.871, 0.243)",-1.51,0.131
  McGregor,-0.796,0.427,"(-1.633, 0.041)",-1.86,0.062
  Mchenry,-1.679,0.54,"(-2.736, -0.621)",-3.11,0.002
  McIntosh,-0.757,0.467,"(-1.673, 0.160)",-1.62,0.106
  Mckenzie Bridge,-0.446,0.427,"(-1.283, 0.391)",-1.04,0.296
  Mckinleyville,-0.898,0.392,"(-1.666, -0.130)",-2.29,0.022
  McKinleyville,-0.917,0.394,"(-1.689, -0.144)",-2.33,0.02
  McKinney,-0.396,0.406,"(-1.193, 0.400)",-0.98,0.329
  Mcminnville,-0.751,0.385,"(-1.506, 0.003)",-1.95,0.051
  McMinnville,-0.82,0.385,"(-1.574, -0.065)",-2.13,0.033
  Meacham,-0.87,0.387,"(-1.628, -0.112)",-2.25,0.024
  Meadow Vista,-0.836,0.441,"(-1.701, 0.028)",-1.9,0.058
  Meadows of Dan,0.595,0.539,"(-0.462, 1.652)",1.1,0.27
  Meadows Of Dan,0.595,0.539,"(-0.462, 1.652)",1.1,0.27
  Meadville,0.145,0.42,"(-0.678, 0.969)",0.35,0.729
  Mebane,-1.086,0.407,"(-1.883, -0.289)",-2.67,0.008
  Mechanicsburg,0.127,0.54,"(-0.932, 1.186)",0.23,0.814
  Mechanicsville,-1.281,0.413,"(-2.091, -0.472)",-3.1,0.002
  Mechanicville,-0.045,0.441,"(-0.909, 0.820)",-0.1,0.919
  Medford,-0.761,0.383,"(-1.512, -0.010)",-1.99,0.047
  Medical Lake,0.607,0.54,"(-0.451, 1.665)",1.12,0.261
  Medina,-0.217,0.441,"(-1.082, 0.647)",-0.49,0.622
  Medway,-1.832,0.541,"(-2.892, -0.772)",-3.39,0.001
  Melbourne,-1.154,0.394,"(-1.925, -0.383)",-2.93,0.003
  Melrose,-0.819,0.409,"(-1.620, -0.018)",-2,0.045
  Melrose Park,-0.834,0.409,"(-1.635, -0.032)",-2.04,0.042
  Melville,-0.279,0.401,"(-1.066, 0.507)",-0.7,0.486
  Memphis,-1.169,0.385,"(-1.924, -0.414)",-3.04,0.002
  Menahga,-0.791,0.399,"(-1.574, -0.009)",-1.98,0.048
  Menasha,-0.21,0.465,"(-1.122, 0.702)",-0.45,0.652
  Mendota,-0.898,0.387,"(-1.657, -0.139)",-2.32,0.02
  Menifee,-0.779,0.385,"(-1.534, -0.024)",-2.02,0.043
  Menlo,-0.912,0.471,"(-1.835, 0.010)",-1.94,0.053
  Menomonee Falls,-1.965,0.465,"(-2.877, -1.053)",-4.22,0
  Menomonie,-2.02,0.465,"(-2.932, -1.108)",-4.34,0
  Mentone,-0.871,0.388,"(-1.632, -0.110)",-2.24,0.025
  Merced,-0.862,0.385,"(-1.616, -0.108)",-2.24,0.025
  Mercer,-0.422,0.443,"(-1.290, 0.445)",-0.95,0.34
  Mercer Island,-1.124,0.398,"(-1.904, -0.345)",-2.83,0.005
  Merchantville,-1.324,0.442,"(-2.189, -0.458)",-3,0.003
  Meriden,-1.003,0.414,"(-1.814, -0.193)",-2.43,0.015
  Meridian,-0.935,0.41,"(-1.739, -0.131)",-2.28,0.023
  Merrick,-1.229,0.393,"(-1.998, -0.459)",-3.13,0.002
  Merrill,-0.775,0.412,"(-1.582, 0.033)",-1.88,0.06
  Merrillville,-1.164,0.402,"(-1.952, -0.375)",-2.89,0.004
  Merrimac,-0.997,0.469,"(-1.917, -0.077)",-2.12,0.034
  Merrimack,-0.82,0.392,"(-1.589, -0.052)",-2.09,0.036
  Merritt Island,-0.854,0.442,"(-1.721, 0.012)",-1.93,0.053
  Mesa,-0.916,0.387,"(-1.674, -0.158)",-2.37,0.018
  Mesquite,-0.773,0.388,"(-1.534, -0.013)",-1.99,0.046
  Metairie,-1.004,0.396,"(-1.779, -0.228)",-2.54,0.011
  Metamora,0.43,0.539,"(-0.627, 1.487)",0.8,0.425
  Methuen,-1.007,0.469,"(-1.927, -0.087)",-2.15,0.032
  Metropolis,0.299,0.539,"(-0.758, 1.357)",0.55,0.579
  Metuchen,-1.34,0.414,"(-2.150, -0.529)",-3.24,0.001
  Mexico,0.414,0.468,"(-0.502, 1.331)",0.89,0.376
  Mi Wuk Village,-0.86,0.441,"(-1.724, 0.004)",-1.95,0.051
  MI Wuk Village,-0.833,0.467,"(-1.749, 0.082)",-1.78,0.075
  Miami,-0.539,0.384,"(-1.291, 0.214)",-1.4,0.161
  Miami Beach,-0.537,0.395,"(-1.311, 0.237)",-1.36,0.174
  Miami Gardens,-0.817,0.42,"(-1.639, 0.005)",-1.95,0.052
  Miami Shores,-1.398,0.54,"(-2.456, -0.340)",-2.59,0.01
  Miamisburg,-1.772,0.442,"(-2.639, -0.905)",-4,0
  Mica,-1.365,0.54,"(-2.423, -0.307)",-2.53,0.011
  Micanopy,-1.244,0.468,"(-2.162, -0.326)",-2.66,0.008
  Middle River,0.147,0.54,"(-0.912, 1.206)",0.27,0.785
  Middle Village,0.559,0.539,"(-0.498, 1.616)",1.04,0.3
  Middleboro,-0.392,0.472,"(-1.317, 0.532)",-0.83,0.406
  Middleburg,0.645,0.54,"(-0.414, 1.703)",1.19,0.233
  Middlebury,0.226,0.468,"(-0.691, 1.143)",0.48,0.629
  Middlesex,0.38,0.54,"(-0.678, 1.439)",0.7,0.481
  Middleton,-1.984,0.465,"(-2.896, -1.073)",-4.27,0
  Middletown,-0.967,0.385,"(-1.722, -0.212)",-2.51,0.012
  Middleville,0.286,0.54,"(-0.772, 1.344)",0.53,0.596
  Midland,-0.917,0.427,"(-1.754, -0.080)",-2.15,0.032
  Midland City,-1.129,0.541,"(-2.189, -0.070)",-2.09,0.037
  Midlothian,-0.752,0.406,"(-1.547, 0.043)",-1.86,0.064
  Midpines,-0.869,0.441,"(-1.733, -0.005)",-1.97,0.049
  Midvale,-0.851,0.383,"(-1.603, -0.099)",-2.22,0.026
  Midway,0.223,0.414,"(-0.588, 1.034)",0.54,0.59
  Midway City,-0.872,0.418,"(-1.692, -0.052)",-2.08,0.037
  Midwest,-1.263,0.604,"(-2.446, -0.080)",-2.09,0.036
  Mifflintown,-1.819,0.469,"(-2.738, -0.900)",-3.88,0
  Milaca,-0.792,0.394,"(-1.565, -0.020)",-2.01,0.044
  Milan,-0.59,0.401,"(-1.376, 0.196)",-1.47,0.141
  Miles City,0.661,0.551,"(-0.418, 1.740)",1.2,0.23
  Milford,-1.006,0.386,"(-1.763, -0.249)",-2.61,0.009
  Mill City,-0.866,0.398,"(-1.646, -0.086)",-2.18,0.029
  Mill Creek,-0.875,0.405,"(-1.670, -0.081)",-2.16,0.031
  Mill Valley,-0.817,0.385,"(-1.572, -0.062)",-2.12,0.034
  Millbrae,-0.778,0.386,"(-1.533, -0.022)",-2.02,0.044
  Millbrook,-1.144,0.541,"(-2.204, -0.085)",-2.12,0.034
  Millbury,-1.069,0.541,"(-2.129, -0.009)",-1.98,0.048
  Milledgeville,-0.127,0.468,"(-1.044, 0.791)",-0.27,0.786
  Millen,0.163,0.442,"(-0.702, 1.029)",0.37,0.712
  Millerstown,-0.401,0.541,"(-1.460, 0.659)",-0.74,0.458
  Millington,0.414,0.468,"(-0.503, 1.331)",0.88,0.377
  Millsboro,-0.209,0.445,"(-1.081, 0.663)",-0.47,0.639
  Milltown,0.149,0.54,"(-0.909, 1.207)",0.28,0.782
  Millville,-0.527,0.397,"(-1.305, 0.250)",-1.33,0.184
  Milpitas,-0.851,0.384,"(-1.603, -0.100)",-2.22,0.026
  Milton,-0.685,0.391,"(-1.451, 0.082)",-1.75,0.08
  Milton Freewater,-0.768,0.386,"(-1.524, -0.012)",-1.99,0.046
  Milwaukee,-1.352,0.382,"(-2.100, -0.604)",-3.54,0
  Mims,-1.265,0.442,"(-2.132, -0.399)",-2.86,0.004
  Minden,0.658,0.471,"(-0.264, 1.581)",1.4,0.162
  Mineral,0.496,0.419,"(-0.325, 1.317)",1.18,0.237
  Mineral Point,-0.188,0.537,"(-1.241, 0.865)",-0.35,0.727
  Minneapolis,-0.765,0.383,"(-1.515, -0.015)",-2,0.046
  Minnesota City,-0.809,0.467,"(-1.725, 0.107)",-1.73,0.083
  Minnesota Lake,-0.724,0.539,"(-1.780, 0.333)",-1.34,0.18
  Minnetonka,-0.781,0.401,"(-1.567, 0.005)",-1.95,0.051
  Mira Loma,-0.842,0.383,"(-1.593, -0.091)",-2.2,0.028
  Mishawaka,0.024,0.468,"(-0.894, 0.942)",0.05,0.959
  Mission,-0.864,0.432,"(-1.711, -0.016)",-2,0.046
  Mission Viejo,-0.845,0.384,"(-1.597, -0.093)",-2.2,0.028
  Missoula,-1.337,0.551,"(-2.416, -0.257)",-2.43,0.015
  Missouri City,-0.633,0.468,"(-1.551, 0.284)",-1.35,0.176
  Mitchell,-0.757,0.386,"(-1.514, -0.001)",-1.96,0.05
  Mitchellville,0.409,0.542,"(-0.653, 1.471)",0.75,0.451
  Mizpah,-0.887,0.539,"(-1.943, 0.170)",-1.64,0.1
  Moab,-0.731,0.389,"(-1.493, 0.031)",-1.88,0.06
  Mobile,-0.801,0.395,"(-1.576, -0.026)",-2.03,0.043
  Mocksville,-0.143,0.41,"(-0.947, 0.660)",-0.35,0.726
  Model,-0.421,0.428,"(-1.259, 0.418)",-0.98,0.325
  Modesto,-0.854,0.383,"(-1.605, -0.104)",-2.23,0.026
  Mohave Valley,0.189,0.54,"(-0.870, 1.248)",0.35,0.727
  Mohegan Lake,-1.394,0.539,"(-2.451, -0.336)",-2.58,0.01
  Mojave,-0.904,0.386,"(-1.661, -0.146)",-2.34,0.019
  Mokelumne Hill,-0.861,0.405,"(-1.655, -0.066)",-2.12,0.034
  Mokena,-1.869,0.54,"(-2.927, -0.812)",-3.46,0.001
  Molalla,-0.597,0.386,"(-1.354, 0.159)",-1.55,0.122
  Moline,0.203,0.54,"(-0.854, 1.261)",0.38,0.706
  Mona,-0.887,0.391,"(-1.653, -0.121)",-2.27,0.023
  Moneta,0.547,0.427,"(-0.291, 1.385)",1.28,0.201
  Monkton,0.124,0.469,"(-0.795, 1.043)",0.26,0.791
  Monmouth,-0.857,0.389,"(-1.620, -0.095)",-2.2,0.027
  Monmouth Junction,-0.693,0.468,"(-1.610, 0.225)",-1.48,0.139
  Monroe,-0.425,0.387,"(-1.183, 0.334)",-1.1,0.272
  Monroe Township,-1.471,0.406,"(-2.268, -0.675)",-3.62,0
  Monroeville,-0.09,0.54,"(-1.149, 0.969)",-0.17,0.867
  Monrovia,-0.825,0.384,"(-1.578, -0.072)",-2.15,0.032
  Monsey,-1.361,0.539,"(-2.418, -0.304)",-2.52,0.012
  Montague,-0.88,0.391,"(-1.646, -0.113)",-2.25,0.024
  Monte Rio,-0.862,0.409,"(-1.663, -0.062)",-2.11,0.035
  Monte Sereno,-0.944,0.539,"(-2.001, 0.112)",-1.75,0.08
  Monte Vista,-0.964,0.468,"(-1.881, -0.047)",-2.06,0.039
  Montebello,-0.822,0.384,"(-1.574, -0.070)",-2.14,0.032
  Montello,-0.088,0.426,"(-0.922, 0.746)",-0.21,0.836
  Monterey,-0.863,0.386,"(-1.619, -0.106)",-2.24,0.025
  Monterey Park,-0.766,0.385,"(-1.521, -0.011)",-1.99,0.047
  Montesano,-0.044,0.468,"(-0.962, 0.873)",-0.09,0.925
  Montevideo,-0.8,0.397,"(-1.578, -0.022)",-2.02,0.044
  Montgomery,-0.67,0.388,"(-1.430, 0.090)",-1.73,0.084
  Montgomery Creek,-0.957,0.467,"(-1.873, -0.041)",-2.05,0.041
  Montgomeryville,0.046,0.442,"(-0.821, 0.914)",0.11,0.916
  Monticello,-0.769,0.384,"(-1.522, -0.016)",-2,0.045
  Montoursville,-0.503,0.469,"(-1.422, 0.416)",-1.07,0.284
  Montpelier,-0.338,0.413,"(-1.148, 0.473)",-0.82,0.414
  Montrose,-0.658,0.388,"(-1.419, 0.102)",-1.7,0.09
  Montvale,0.524,0.539,"(-0.533, 1.581)",0.97,0.331
  Montville,-1.121,0.54,"(-2.179, -0.064)",-2.08,0.038
  Monument,-0.997,0.387,"(-1.755, -0.239)",-2.58,0.01
  Moodus,0.535,0.468,"(-0.383, 1.453)",1.14,0.253
  Moody,-0.636,0.443,"(-1.504, 0.232)",-1.44,0.151
  Moore Haven,0.488,0.468,"(-0.430, 1.406)",1.04,0.297
  Mooresboro,0.363,0.468,"(-0.556, 1.281)",0.77,0.439
  Moorestown,-1.638,0.54,"(-2.696, -0.580)",-3.03,0.002
  Mooresville,-1.493,0.398,"(-2.274, -0.712)",-3.75,0
  Moorhead,0.119,0.467,"(-0.797, 1.036)",0.26,0.798
  Moorpark,-0.835,0.387,"(-1.594, -0.076)",-2.16,0.031
  Moose Lake,-0.823,0.395,"(-1.597, -0.049)",-2.08,0.037
  Moosic,-1.842,0.54,"(-2.901, -0.783)",-3.41,0.001
  Mora,-0.78,0.403,"(-1.570, 0.010)",-1.94,0.053
  Moreno Valley,-0.846,0.383,"(-1.597, -0.095)",-2.21,0.027
  Morgan,-0.874,0.384,"(-1.628, -0.120)",-2.27,0.023
  Morgan Hill,-0.828,0.385,"(-1.583, -0.073)",-2.15,0.031
  Morgantown,-0.45,0.404,"(-1.242, 0.341)",-1.12,0.265
  Morganville,-1.711,0.54,"(-2.769, -0.653)",-3.17,0.002
  Moriarty,-1.321,0.486,"(-2.273, -0.369)",-2.72,0.007
  Moro,-0.871,0.392,"(-1.639, -0.103)",-2.22,0.026
  Morrice,-0.667,0.539,"(-1.724, 0.390)",-1.24,0.216
  Morrilton,-1.504,0.43,"(-2.346, -0.661)",-3.5,0
  Morris,-0.806,0.413,"(-1.615, 0.003)",-1.95,0.051
  Morrison,-0.932,0.399,"(-1.713, -0.150)",-2.34,0.019
  Morristown,-0.953,0.397,"(-1.731, -0.175)",-2.4,0.016
  Morrisville,-1.254,0.393,"(-2.025, -0.484)",-3.19,0.001
  Morro Bay,-0.879,0.401,"(-1.664, -0.093)",-2.19,0.028
  Morrow,-1.22,0.409,"(-2.022, -0.418)",-2.98,0.003
  Morton,-0.288,0.413,"(-1.097, 0.521)",-0.7,0.486
  Morton Grove,-1.189,0.428,"(-2.027, -0.351)",-2.78,0.005
  Moscow,-1.006,0.546,"(-2.076, 0.064)",-1.84,0.065
  Moselle,0.11,0.444,"(-0.760, 0.981)",0.25,0.804
  Moses Lake,-1.435,0.54,"(-2.493, -0.377)",-2.66,0.008
  Mosier,-0.851,0.388,"(-1.612, -0.091)",-2.19,0.028
  Moss Beach,-0.808,0.401,"(-1.594, -0.022)",-2.02,0.044
  Moss Landing,-0.883,0.395,"(-1.657, -0.110)",-2.24,0.025
  Moss Point,-1.215,0.421,"(-2.041, -0.389)",-2.88,0.004
  Mossville,-0.633,0.468,"(-1.550, 0.285)",-1.35,0.176
  Motley,-0.783,0.394,"(-1.555, -0.010)",-1.99,0.047
  Moultrie,-0.517,0.442,"(-1.383, 0.348)",-1.17,0.241
  Mound House,-1.897,0.487,"(-2.851, -0.943)",-3.9,0
  Mount Airy,-1.056,0.404,"(-1.847, -0.265)",-2.62,0.009
  Mount Angel,-0.662,0.392,"(-1.430, 0.107)",-1.69,0.092
  Mount Ayr,-0.964,0.542,"(-2.026, 0.098)",-1.78,0.075
  Mount Carmel,-0.864,0.428,"(-1.702, -0.025)",-2.02,0.043
  Mount Clare,0.549,0.542,"(-0.512, 1.611)",1.01,0.31
  Mount Clemens,-0.624,0.539,"(-1.681, 0.433)",-1.16,0.247
  Mount Crawford,-0.447,0.468,"(-1.363, 0.470)",-0.96,0.339
  Mount Ephraim,-1.618,0.442,"(-2.484, -0.753)",-3.66,0
  Mount Holly,-0.134,0.409,"(-0.936, 0.668)",-0.33,0.743
  Mount Hood Parkdale,-0.832,0.387,"(-1.591, -0.073)",-2.15,0.032
  Mount Hope,-0.791,0.47,"(-1.713, 0.130)",-1.68,0.092
  Mount Horeb,-0.135,0.465,"(-1.047, 0.777)",-0.29,0.772
  Mount Ida,0.509,0.47,"(-0.412, 1.431)",1.08,0.279
  Mount Jackson,-0.457,0.427,"(-1.294, 0.381)",-1.07,0.285
  Mount Juliet,-1.417,0.468,"(-2.335, -0.499)",-3.03,0.002
  Mount Kisco,-1.239,0.413,"(-2.048, -0.429)",-3,0.003
  Mount Laurel,-1.296,0.392,"(-2.064, -0.528)",-3.31,0.001
  Mount Morris,-1.419,0.409,"(-2.221, -0.618)",-3.47,0.001
  Mount Pleasant,-0.921,0.389,"(-1.684, -0.158)",-2.37,0.018
  Mount Prospect,-1.678,0.54,"(-2.736, -0.620)",-3.11,0.002
  Mount Rainier,0.179,0.54,"(-0.880, 1.238)",0.33,0.741
  Mount Shasta,-0.918,0.391,"(-1.684, -0.151)",-2.35,0.019
  Mount Vernon,-0.555,0.386,"(-1.311, 0.201)",-1.44,0.15
  Mountain Home,-0.902,0.393,"(-1.672, -0.132)",-2.3,0.022
  Mountain Lake,-0.854,0.47,"(-1.775, 0.068)",-1.82,0.069
  Mountain Top,-1.366,0.469,"(-2.285, -0.448)",-2.91,0.004
  Mountain View,-0.829,0.386,"(-1.585, -0.072)",-2.15,0.032
  Mountlake Terrace,-0.8,0.392,"(-1.569, -0.031)",-2.04,0.041
  Muir Beach,-0.907,0.467,"(-1.823, 0.010)",-1.94,0.052
  Mukilteo,0.038,0.468,"(-0.880, 0.956)",0.08,0.935
  Mukwonago,-2.048,0.537,"(-3.101, -0.994)",-3.81,0
  Mulino,-0.842,0.405,"(-1.636, -0.047)",-2.08,0.038
  Mullan,-0.954,0.546,"(-2.025, 0.116)",-1.75,0.08
  Mulliken,0.149,0.441,"(-0.716, 1.013)",0.34,0.736
  Muncie,0.132,0.54,"(-0.926, 1.190)",0.24,0.807
  Mundelein,-0.994,0.389,"(-1.757, -0.231)",-2.55,0.011
  Munds Park,0.331,0.54,"(-0.728, 1.390)",0.61,0.54
  Munster,-1.7,0.54,"(-2.759, -0.642)",-3.15,0.002
  Murdock,-0.844,0.467,"(-1.761, 0.072)",-1.81,0.071
  Murfreesboro,-0.645,0.42,"(-1.467, 0.178)",-1.54,0.124
  Murphy,-0.801,0.539,"(-1.858, 0.255)",-1.49,0.137
  Murphys,-0.905,0.405,"(-1.699, -0.110)",-2.23,0.026
  Murrells Inlet,-1.352,0.54,"(-2.412, -0.293)",-2.5,0.012
  Murrieta,-0.879,0.384,"(-1.631, -0.127)",-2.29,0.022
  Murrysville,-0.037,0.469,"(-0.956, 0.882)",-0.08,0.937
  Muscle Shoals,-1.15,0.541,"(-2.209, -0.090)",-2.13,0.033
  Muskegon,-0.558,0.419,"(-1.379, 0.263)",-1.33,0.183
  Myakka City,0.601,0.428,"(-0.238, 1.440)",1.4,0.161
  Myers Flat,-0.886,0.394,"(-1.658, -0.113)",-2.25,0.025
  Myrtle Beach,-1.047,0.392,"(-1.814, -0.280)",-2.67,0.007
  Myrtle Creek,-0.81,0.384,"(-1.562, -0.058)",-2.11,0.035
  Myrtle Point,-0.82,0.385,"(-1.575, -0.065)",-2.13,0.033
  Mystic,-1.143,0.468,"(-2.060, -0.225)",-2.44,0.015
  Nahunta,0.202,0.54,"(-0.856, 1.259)",0.37,0.709
  Nakina,0.466,0.414,"(-0.345, 1.278)",1.13,0.26
  Nampa,-0.851,0.414,"(-1.663, -0.039)",-2.05,0.04
  Nanuet,-1.476,0.409,"(-2.277, -0.675)",-3.61,0
  Napa,-0.861,0.384,"(-1.613, -0.109)",-2.24,0.025
  Naperville,-1.081,0.395,"(-1.856, -0.306)",-2.73,0.006
  Naples,-0.824,0.393,"(-1.595, -0.053)",-2.09,0.036
  Narrows,0.447,0.468,"(-0.470, 1.364)",0.96,0.339
  Narvon,-1.798,0.54,"(-2.857, -0.739)",-3.33,0.001
  Naselle,-1.587,0.386,"(-2.344, -0.831)",-4.11,0
  Nashua,-0.761,0.39,"(-1.525, 0.003)",-1.95,0.051
  Nashville,-1.076,0.385,"(-1.830, -0.322)",-2.8,0.005
  Nassau,-0.726,0.441,"(-1.590, 0.139)",-1.64,0.1
  Natick,-1.004,0.541,"(-2.064, 0.056)",-1.86,0.063
  National City,-0.818,0.385,"(-1.571, -0.064)",-2.13,0.033
  Natural Bridge,-0.24,0.441,"(-1.104, 0.625)",-0.54,0.587
  Natural Bridge Station,-1.359,0.539,"(-2.416, -0.302)",-2.52,0.012
  Naugatuck,0.546,0.468,"(-0.372, 1.464)",1.17,0.244
  Nedrow,-0.318,0.441,"(-1.183, 0.546)",-0.72,0.471
  Needles,-0.867,0.392,"(-1.634, -0.099)",-2.21,0.027
  Neelyton,-0.858,0.398,"(-1.639, -0.077)",-2.15,0.031
  Neenah,-0.295,0.425,"(-1.127, 0.538)",-0.69,0.488
  Nehalem,-0.844,0.385,"(-1.599, -0.089)",-2.19,0.029
  Neola,0.325,0.542,"(-0.737, 1.387)",0.6,0.549
  Neosho,-0.104,0.465,"(-1.016, 0.808)",-0.22,0.823
  Neotsu,-0.988,0.539,"(-2.044, 0.069)",-1.83,0.067
  Nephi,-0.865,0.385,"(-1.620, -0.111)",-2.25,0.025
  Neptune,0.332,0.442,"(-0.534, 1.197)",0.75,0.453
  Nerstrand,-0.825,0.467,"(-1.741, 0.091)",-1.76,0.078
  Nesbit,-1.26,0.541,"(-2.321, -0.199)",-2.33,0.02
  Nesconset,-0.489,0.539,"(-1.546, 0.568)",-0.91,0.365
  Neskowin,-0.845,0.386,"(-1.601, -0.088)",-2.19,0.029
  Netcong,-0.63,0.468,"(-1.547, 0.288)",-1.34,0.179
  Nevada City,-0.79,0.388,"(-1.549, -0.030)",-2.04,0.042
  Nevis,-0.785,0.427,"(-1.623, 0.052)",-1.84,0.066
  New Albany,-0.839,0.393,"(-1.611, -0.068)",-2.13,0.033
  New Baltimore,-1.582,0.441,"(-2.446, -0.717)",-3.59,0
  New Bedford,-1.008,0.541,"(-2.068, 0.051)",-1.86,0.062
  New Berlin,-1.199,0.4,"(-1.984, -0.414)",-2.99,0.003
  New Bern,-0.22,0.442,"(-1.087, 0.646)",-0.5,0.618
  New Boston,-1.111,0.468,"(-2.028, -0.195)",-2.38,0.017
  New Braunfels,-0.663,0.428,"(-1.502, 0.175)",-1.55,0.121
  New Britain,-0.338,0.414,"(-1.149, 0.472)",-0.82,0.413
  New Brunswick,-1.537,0.4,"(-2.322, -0.753)",-3.84,0
  New Buffalo,-1.623,0.539,"(-2.680, -0.566)",-3.01,0.003
  New Canaan,-1.606,0.468,"(-2.523, -0.688)",-3.43,0.001
  New Canton,0.647,0.469,"(-0.271, 1.566)",1.38,0.167
  New Carlisle,-1.785,0.54,"(-2.844, -0.725)",-3.3,0.001
  New Castle,-1.289,0.391,"(-2.055, -0.522)",-3.3,0.001
  New City,-1.431,0.441,"(-2.296, -0.566)",-3.24,0.001
  New Cuyama,-0.888,0.427,"(-1.725, -0.051)",-2.08,0.038
  New Durham,-0.82,0.54,"(-1.879, 0.238)",-1.52,0.129
  New Freedom,-0.061,0.469,"(-0.980, 0.858)",-0.13,0.897
  New Germany,-0.846,0.413,"(-1.655, -0.037)",-2.05,0.04
  New Gloucester,-0.982,0.442,"(-1.849, -0.115)",-2.22,0.026
  New Hampton,-0.961,0.414,"(-1.773, -0.149)",-2.32,0.02
  New Harmony,-0.887,0.388,"(-1.648, -0.125)",-2.28,0.022
  New Haven,-0.828,0.389,"(-1.590, -0.067)",-2.13,0.033
  New Hill,-1.573,0.54,"(-2.631, -0.514)",-2.91,0.004
  New Holland,-1.522,0.541,"(-2.583, -0.462)",-2.81,0.005
  New Hudson,-0.387,0.468,"(-1.304, 0.530)",-0.83,0.408
  New Hyde Park,-0.082,0.441,"(-0.947, 0.782)",-0.19,0.852
  New Kensington,-0.953,0.429,"(-1.793, -0.113)",-2.22,0.026
  New Kent,-0.231,0.419,"(-1.052, 0.589)",-0.55,0.58
  New Lebanon,0.651,0.539,"(-0.406, 1.708)",1.21,0.227
  New Lenox,-0.914,0.419,"(-1.735, -0.092)",-2.18,0.029
  New Limerick,-0.101,0.541,"(-1.161, 0.958)",-0.19,0.851
  New London,-0.669,0.392,"(-1.436, 0.099)",-1.71,0.088
  New Market,0.2,0.469,"(-0.719, 1.119)",0.43,0.67
  New Matamoras,0.29,0.469,"(-0.629, 1.209)",0.62,0.536
  New Meadows,-0.387,0.449,"(-1.268, 0.493)",-0.86,0.389
  New Milford,-0.499,0.469,"(-1.419, 0.421)",-1.06,0.288
  New Orleans,-1.032,0.39,"(-1.797, -0.267)",-2.64,0.008
  New Paris,-0.724,0.54,"(-1.783, 0.335)",-1.34,0.18
  New Pine Creek,-0.879,0.419,"(-1.700, -0.059)",-2.1,0.036
  New Port Richey,-1.39,0.54,"(-2.448, -0.332)",-2.57,0.01
  New Prague,-0.766,0.403,"(-1.556, 0.024)",-1.9,0.057
  New Preston Marble Dale,0.428,0.468,"(-0.491, 1.346)",0.91,0.361
  New Richland,-0.846,0.539,"(-1.902, 0.211)",-1.57,0.117
  New Richmond,-0.171,0.465,"(-1.083, 0.741)",-0.37,0.713
  New River,-1.824,0.54,"(-2.883, -0.766)",-3.38,0.001
  New Rochelle,-0.982,0.403,"(-1.773, -0.192)",-2.44,0.015
  New Stanton,-1.399,0.469,"(-2.318, -0.480)",-2.98,0.003
  New Trier,-0.732,0.539,"(-1.789, 0.324)",-1.36,0.174
  New Ulm,-0.901,0.39,"(-1.665, -0.136)",-2.31,0.021
